guid,Word,Reading,Meaning,Level,ReadingType,Pattern,Rules,KanjiDetail
kk_Arbeit（德）_アルバイト,Arbeit（德）,アルバイト,德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら,N4,on,on~,IL2_on_only(on 99%),德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら
kk_Energie（德）_エネルギー,Energie（德）,エネルギー,德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら,N4,on,on~,IL2_on_only(on 99%),德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら
kk_alcohol（荷）_アルコール,alcohol（荷）,アルコール,荷:◆ハス(蓮)、ハス科ハス属の水草、ハスの花・実・茎・根茎など全体を指す、別名「芙蕖(フキョ)」、「【爾雅注疏:釋草】荷芙渠(…)其莖茄其葉蕸其本蔤(《注》莖下白,N4,other,unknown,IL2_single_default(kun 84%),荷:◆ハス(蓮)、ハス科ハス属の水草、ハスの花・実・茎・根茎など全体を指す、別名「芙蕖(フキョ)」、「【爾雅注疏:釋草】荷芙渠(…)其莖茄其葉蕸其本蔤(《注》莖下白
kk_lemon（檸檬）_レモン,lemon（檸檬）,レモン,檸:◆「檸檬(ネイモウ、レモンlemon)」、ミカン科ミカン属の木、またその果実、同「柠檬」 ◆簡「柠」; 檬:◆「檸檬(ネイモウ)」、レモンlemon、ミカン科ミカン属の木、またその果実,N4,on,on+on~,A3_short_compound(on+on 71%) | B_noun_rad_木(kun 93%) | B_noun_rad_木(kun 93%),檸:◆「檸檬(ネイモウ、レモンlemon)」、ミカン科ミカン属の木、またその果実、同「柠檬」 ◆簡「柠」; 檬:◆「檸檬(ネイモウ)」、レモンlemon、ミカン科ミカン属の木、またその果実
kk_お前_おまえ,お前,おまえ,前:◆(前に)進む、またその方向、同「先」、「前途(ぜんと、目的地に向かう道のり、将来)」◆位置的には先の方向、時間的には過去の方向、順序では上位の方向、同「先」、,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_verb_rad_刀(kun 80%),前:◆(前に)進む、またその方向、同「先」、「前途(ぜんと、目的地に向かう道のり、将来)」◆位置的には先の方向、時間的には過去の方向、順序では上位の方向、同「先」、
kk_お土産_おみやげ,お土産,おみやげ,土:◆泥や細かい砂などから成るもの◆生(セイ)あるものを生み出すもの、「【說文解字:巻一三下:土部:土】地之吐生物者也二象地之下地之中物出形」◆地に根差したもの、そ; 産:◆子を生む◆生まれ◆新たに(新たなものを)生み出す、作り出す、また生み出されたもの、「生産(セイサン)」◆土地や財物◆音孔が三つの籥(ヤク、縦笛)、籥よりも太く,N4,other,mixed+mixed~,IL1_okurigana(kun 96%) | A1_compound_oku(kun 90%) | A1_on_kun_mix(on+kun 65%),土:◆泥や細かい砂などから成るもの◆生(セイ)あるものを生み出すもの、「【說文解字:巻一三下:土部:土】地之吐生物者也二象地之下地之中物出形」◆地に根差したもの、そ; 産:◆子を生む◆生まれ◆新たに(新たなものを)生み出す、作り出す、また生み出されたもの、「生産(セイサン)」◆土地や財物◆音孔が三つの籥(ヤク、縦笛)、籥よりも太く
kk_お目にかかる_おめにかかる,お目にかかる,おめにかかる,目:◆眼(め、眼球ガンキュウ、黒目くろめ)・白目(しろめ、結膜ケツマク)・視神経などを含むものを見る器官全体、またその形状や様子や機能◆ものを見る、また見分ける◆眼,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),目:◆眼(め、眼球ガンキュウ、黒目くろめ)・白目(しろめ、結膜ケツマク)・視神経などを含むものを見る器官全体、またその形状や様子や機能◆ものを見る、また見分ける◆眼
kk_お礼_おれい,お礼,おれい,礼:◆社会生活をする上での作法や決まり事、「禮儀(礼儀、レイギ、正式な・正規の作法)」「拜禮(拝礼、ハイレイ、お辞儀の作法)」「禮拜(礼拝、レイハイ、作法に則ってお,N4,on,on~,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),礼:◆社会生活をする上での作法や決まり事、「禮儀(礼儀、レイギ、正式な・正規の作法)」「拜禮(拝礼、ハイレイ、お辞儀の作法)」「禮拜(礼拝、レイハイ、作法に則ってお
kk_お祝い_おいわい,お祝い,おいわい,祝:◆神前で祈祷(キトウ)する、神に申し上げる、またその言葉、またその人◆「巫祝(フシュク)」、祭祀(サイシ)などの神事を司(つかさど)る人◆人に幸い・喜びを賜りま,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),祝:◆神前で祈祷(キトウ)する、神に申し上げる、またその言葉、またその人◆「巫祝(フシュク)」、祭祀(サイシ)などの神事を司(つかさど)る人◆人に幸い・喜びを賜りま
kk_お祭り_おまつり,お祭り,おまつり,祭:◆神(かみ)や先祖や死者に供え物(そなえもの)を捧(ささ)げる、またその儀式、「祭祀(サイシ)」、同「祀」◆[日]大勢の人が集まって行う催(もよお)し¶「祭」の,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),祭:◆神(かみ)や先祖や死者に供え物(そなえもの)を捧(ささ)げる、またその儀式、「祭祀(サイシ)」、同「祀」◆[日]大勢の人が集まって行う催(もよお)し¶「祭」の
